date	2017-12-14 5:25:00	2018-01-17 22:45:00	2018-02-21 16:05:00	2018-03-28 9:25:00	2018-05-02 2:45:00	2018-06-05 20:05:00	2018-07-10 13:25:00	2018-08-14 6:45:00	2018-09-18 0:05:00	2018-10-22 17:25:00	2018-11-26 10:45:00	2018-12-31 4:05:00	2019-02-03 21:25:00	2019-03-10 14:45:00	2019-04-14 8:05:00	2019-05-19 1:25:00	2019-06-22 18:45:00	2019-07-27 12:05:00	2019-08-31 5:25:00	2019-10-04 22:45:00	2019-11-08 16:05:00	2019-12-13 9:25:00	2020-01-17 2:45:00	2020-02-20 20:05:00	2020-03-26 13:25:00	2020-04-30 6:45:00	2020-06-04 0:05:00	avg
btc	1	0.94178	0.76411	1.19716	0.82807	0.90102	0.94682	1.01702	1.02035	0.62280	0.93541	0.88678	1.15694	1.31058	1.42682	1.43982	0.94363	0.92964	0.85490	1.14801	0.78470	1.21293	1.12669	0.69147	1.26619	1.10413	0.95981	1.01606
my	1	0.90950	0.98480	1.20844	0.99017	0.89934	1.13735	1.01266	0.99861	0.94120	1.09306	0.94207	1.02933	1.17386	1.46806	1.07481	1.07438	1.08590	0.91486	1.20626	0.87410	1.20006	0.94451	1.03114	1.13204	1.05532	0.96292	1.05172
btcx	1	0.9417774782	0.7196196586	0.8614986682	0.7133829772	0.6427698287	0.608588197	0.6189441602	0.6315408025	0.3933206421	0.3679146839	0.3262593688	0.3774635381	0.4946959348	0.7058427434	1.016284239	0.9589981959	0.89152412	0.7621656124	0.8749759693	0.6865935356	0.8327879463	0.9382939323	0.648800746	0.8215039807	0.9070446243	0.8705863207	
myx	1	0.9095040723	0.895679019	1.082378233	1.071737702	0.9638537607	1.096242586	1.110123072	1.108582604	1.043396721	1.140491898	1.074427661	1.105945181	1.298226289	1.905875799	2.04846124	2.200827004	2.3898823	2.18640716	2.637367675	2.305333889	2.766532662	2.613016095	2.694396003	3.050175744	3.218919696	3.099548536	
